,Model Name,Sample Size,Number Of Random Sample Test,Number Of Neighbors,Base Error Rate,Mean Error Rate On Random Samples,STD Of Error Rate On Random Samples,Max Error Rate On Random Samples,Min Error Rate On Random Samples,EUR Mean Error Rate On Random Samples,EUR STD Of Error Rate On Random Samples,EUR Max Error Rate On Random Samples,EUR Min Error Rate On Random Samples,EAS Mean Error Rate On Random Samples,EAS STD Of Error Rate On Random Samples,EAS Max Error Rate On Random Samples,EAS Min Error Rate On Random Samples,AMR Mean Error Rate On Random Samples,AMR STD Of Error Rate On Random Samples,AMR Max Error Rate On Random Samples,AMR Min Error Rate On Random Samples,SAS Mean Error Rate On Random Samples,SAS STD Of Error Rate On Random Samples,SAS Max Error Rate On Random Samples,SAS Min Error Rate On Random Samples,AFR Mean Error Rate On Random Samples,AFR STD Of Error Rate On Random Samples,AFR Max Error Rate On Random Samples,AFR Min Error Rate On Random Samples
35,KNeighborsClassifier,1000,1,6,0.176,0.231,,0.231,0.231,0.10362694300518134,,0.10362694300518134,0.10362694300518134,0.02577319587628866,,0.02577319587628866,0.02577319587628866,0.6503496503496503,,0.6503496503496503,0.6503496503496503,0.5233160621761658,,0.5233160621761658,0.5233160621761658,0.04332129963898917,,0.04332129963898917,0.04332129963898917
36,KNeighborsClassifier,1000,1,6,0.176,0.22,,0.22,0.22,0.08450704225352113,,0.08450704225352113,0.08450704225352113,0.06153846153846154,,0.06153846153846154,0.06153846153846154,0.6929133858267716,,0.6929133858267716,0.6929133858267716,0.4375,,0.4375,0.4375,0.0625,,0.0625,0.0625
37,KNeighborsClassifier,1000,1,6,0.176,0.249,,0.249,0.249,0.10309278350515463,,0.10309278350515463,0.10309278350515463,0.06965174129353234,,0.06965174129353234,0.06965174129353234,0.6912751677852349,,0.6912751677852349,0.6912751677852349,0.48484848484848486,,0.48484848484848486,0.48484848484848486,0.058365758754863814,,0.058365758754863814,0.058365758754863814
38,KNeighborsClassifier,1000,1,6,0.176,0.237,,0.237,0.237,0.06403940886699508,,0.06403940886699508,0.06403940886699508,0.05263157894736842,,0.05263157894736842,0.05263157894736842,0.7241379310344828,,0.7241379310344828,0.7241379310344828,0.5251396648044693,,0.5251396648044693,0.5251396648044693,0.049429657794676805,,0.049429657794676805,0.049429657794676805
39,KNeighborsClassifier,1000,1,6,0.176,0.258,,0.258,0.258,0.07960199004975124,,0.07960199004975124,0.07960199004975124,0.07142857142857142,,0.07142857142857142,0.07142857142857142,0.717948717948718,,0.717948717948718,0.717948717948718,0.5025125628140703,,0.5025125628140703,0.5025125628140703,0.0648854961832061,,0.0648854961832061,0.0648854961832061
40,KNeighborsClassifier,1000,1,6,0.176,0.219,,0.219,0.219,0.07142857142857142,,0.07142857142857142,0.07142857142857142,0.03553299492385787,,0.03553299492385787,0.03553299492385787,0.6940298507462687,,0.6940298507462687,0.6940298507462687,0.4873096446700508,,0.4873096446700508,0.4873096446700508,0.030534351145038167,,0.030534351145038167,0.030534351145038167
41,KNeighborsClassifier,1000,1,6,0.176,0.216,,0.216,0.216,0.03414634146341464,,0.03414634146341464,0.03414634146341464,0.0392156862745098,,0.0392156862745098,0.0392156862745098,0.6758620689655173,,0.6758620689655173,0.6758620689655173,0.4972375690607735,,0.4972375690607735,0.4972375690607735,0.04905660377358491,,0.04905660377358491,0.04905660377358491
42,KNeighborsClassifier,1000,1,6,0.176,0.218,,0.218,0.218,0.04411764705882353,,0.04411764705882353,0.04411764705882353,0.053811659192825115,,0.053811659192825115,0.053811659192825115,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.5222222222222223,,0.5222222222222223,0.5222222222222223,0.050387596899224806,,0.050387596899224806,0.050387596899224806
43,KNeighborsClassifier,1000,1,6,0.176,0.227,,0.227,0.227,0.06951871657754011,,0.06951871657754011,0.06951871657754011,0.038834951456310676,,0.038834951456310676,0.038834951456310676,0.6985294117647058,,0.6985294117647058,0.6985294117647058,0.45454545454545453,,0.45454545454545453,0.45454545454545453,0.05747126436781609,,0.05747126436781609,0.05747126436781609
44,KNeighborsClassifier,1000,1,6,0.176,0.24,,0.24,0.24,0.078125,,0.078125,0.078125,0.05314009661835749,,0.05314009661835749,0.05314009661835749,0.6363636363636364,,0.6363636363636364,0.6363636363636364,0.495,,0.495,0.495,0.06882591093117409,,0.06882591093117409,0.06882591093117409
45,KNeighborsClassifier,1000,1,6,0.176,0.243,,0.243,0.243,0.06349206349206349,,0.06349206349206349,0.06349206349206349,0.046153846153846156,,0.046153846153846156,0.046153846153846156,0.7278911564625851,,0.7278911564625851,0.7278911564625851,0.48743718592964824,,0.48743718592964824,0.48743718592964824,0.06319702602230483,,0.06319702602230483,0.06319702602230483
